date,ticker,offexchange_source_available,offexchange_fresh,offexchange_history_n,offexchange_dpi,offexchange_dpi_z60,offexchange_volume_z60,patent_source_available,patent_count_30,patent_count_90,patent_claims_90,patent_ai_share_90,patent_acceleration_90,patent_count_90_z252,patent_claims_90_z252,patent_drift_source_available,patent_drift,patent_drift_percentile_24m,patent_drift_change_3m,sec13f_source_available,sec13f_fresh,sec13f_window_days,sec13f_net_change_usd_45d,sec13f_gross_change_usd_45d,sec13f_net_usd_ratio_45d,sec13f_net_change_shares_45d,sec13f_gross_change_shares_45d,sec13f_net_share_ratio_45d,sec13f_adders_45d,sec13f_reducers_45d,sec13f_breadth_45d,sec13f_breadth_rate_45d,sec13f_filing_count_45d,sec13f_new_positions_45d,sec13f_full_exits_45d,sec13f_total_held_45d,sec13f_net_change_to_held_45d
2024-07-05,AAPL,1,1,60,0.364531,-1.2554,-0.8749,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-08,AAPL,1,1,60,0.336666,-1.6478,0.0081,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-09,AAPL,1,1,60,0.521406,1.0588,0.1695,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-10,AAPL,1,1,60,0.549011,1.4367,-0.2264,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-11,AAPL,1,1,60,0.567286,1.6443,0.289,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-12,AAPL,1,1,60,0.410208,-0.6011,0.1193,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-15,AAPL,1,1,60,0.395622,-0.7849,-0.168,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-16,AAPL,1,1,60,0.395622,-0.7674,-0.1663,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-17,AAPL,1,1,60,0.54807,1.3355,-0.4674,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-18,AAPL,1,1,60,0.454408,0.0272,-0.2503,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-19,AAPL,1,1,60,0.463317,0.1515,0.2211,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-22,AAPL,1,1,60,0.55795,1.4453,-0.7197,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-23,AAPL,1,1,60,0.358722,-1.2614,-0.7991,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-24,AAPL,1,1,60,0.368466,-1.1091,-1.195,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-25,AAPL,1,1,60,0.356387,-1.2513,-0.2432,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-26,AAPL,1,1,60,0.330592,-1.5479,-0.5942,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-29,AAPL,1,1,60,0.324863,-1.5625,-0.9757,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-30,AAPL,1,1,60,0.383479,-0.769,-1.0245,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-31,AAPL,1,1,60,0.392411,-0.6315,-1.0017,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-01,AAPL,1,1,60,0.417212,-0.2975,-1.0639,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-02,AAPL,1,1,60,0.416715,-0.2948,-0.2059,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-05,AAPL,1,1,60,0.47111,0.392,1.4662,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-06,AAPL,1,1,60,0.47111,0.3657,1.4119,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-07,AAPL,1,1,60,0.47111,0.3404,1.3757,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-08,AAPL,1,1,60,0.503913,0.7535,0.0771,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-09,AAPL,1,1,60,0.46597,0.2161,-0.6841,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-12,AAPL,1,1,60,0.46597,0.1956,-0.6861,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-13,AAPL,1,1,60,0.47127,0.2482,-0.8846,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-14,AAPL,1,1,60,0.399219,-0.7352,-1.0369,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-15,AAPL,1,1,60,0.385209,-0.925,-1.1679,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-16,AAPL,1,1,60,0.426709,-0.3425,-0.9867,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-19,AAPL,1,1,60,0.491026,0.542,-1.3504,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-20,AAPL,1,1,60,0.429615,-0.3231,-1.1618,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-21,AAPL,1,1,60,0.48122,0.3863,-1.5842,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-22,AAPL,1,1,60,0.464431,0.1571,-1.3624,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-23,AAPL,1,1,60,0.457992,0.0877,-1.2784,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-26,AAPL,1,1,60,0.474607,0.346,-1.166,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-27,AAPL,1,1,60,0.464277,0.1869,-1.4308,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-28,AAPL,1,1,60,0.49502,0.6156,-1.2057,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-29,AAPL,1,1,60,0.495288,0.6017,-0.8942,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-08-30,AAPL,1,1,60,0.420588,-0.4999,-0.143,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-09-02,AAPL,1,1,60,0.47408,0.2802,-0.8116,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
